pred_probs_arrivals,mean_p_arrivals,capacity_arrivals,trial,date
96.0,89.0,73.0,1,2017-02-26
84.0,87.0,68.0,1,2017-02-21
92.0,95.0,71.0,1,2017-02-24
87.0,102.0,80.0,1,2017-02-08
95.0,94.0,67.0,1,2017-02-16
93.0,87.0,62.0,1,2017-01-29
88.0,90.0,74.0,1,2017-03-02
101.0,95.0,81.0,1,2017-03-01
99.0,98.0,72.0,1,2017-03-03
79.0,82.0,66.0,1,2017-03-06
93.0,98.0,72.0,1,2017-03-09
95.0,78.0,64.0,1,2017-03-10
88.0,95.0,61.0,1,2017-03-14
89.0,86.0,72.0,1,2017-03-04
104.0,105.0,86.0,1,2017-03-16
93.0,91.0,81.0,1,2017-03-07
99.0,91.0,69.0,1,2017-03-08
82.0,79.0,66.0,1,2017-03-12
96.0,93.0,80.0,1,2017-03-15
86.0,81.0,71.0,1,2017-03-21
94.0,97.0,68.0,1,2017-03-28
94.0,91.0,79.0,1,2017-03-29
73.0,74.0,59.0,1,2017-03-31
90.0,90.0,60.0,1,2017-02-27
87.0,83.0,70.0,1,2017-03-24
72.0,77.0,59.0,1,2017-03-22
90.0,92.0,68.0,1,2017-03-30
91.0,92.0,71.0,1,2017-02-05
96.0,99.0,79.0,1,2017-04-04
82.0,87.0,77.0,1,2017-03-27
108.0,102.0,81.0,1,2017-03-05
86.0,103.0,61.0,1,2017-04-07
87.0,83.0,67.0,1,2017-04-06
86.0,86.0,70.0,1,2017-03-11
81.0,87.0,71.0,1,2017-03-20
81.0,87.0,73.0,1,2017-03-17
81.0,75.0,59.0,1,2017-03-19
80.0,76.0,58.0,1,2017-03-18
95.0,92.0,79.0,1,2016-12-24
80.0,77.0,74.0,1,2017-04-12
81.0,78.0,69.0,1,2017-04-05
85.0,101.0,76.0,1,2017-03-23
75.0,84.0,65.0,1,2017-03-25
92.0,94.0,76.0,1,2017-04-10
101.0,98.0,77.0,1,2017-04-13
65.0,79.0,62.0,1,2017-04-19
87.0,96.0,71.0,1,2017-04-17
70.0,89.0,65.0,1,2017-04-20
100.0,113.0,87.0,1,2017-04-27
90.0,98.0,71.0,1,2017-04-18
88.0,93.0,66.0,1,2017-04-11
71.0,79.0,46.0,1,2017-04-24
98.0,89.0,74.0,1,2017-04-03
96.0,105.0,83.0,1,2017-04-08
